Left IR Distance (X),Left IR Distance (Y),Left IR Reading,Right IR Distance (X),Right IR Distance (Y),Right IR Reading
0.0 cm,50.0 cm,46.000 ,-9.2 cm,50.0 cm,14.000 
0.0 cm,40.0 cm,65.000 ,-9.2 cm,40.0 cm,15.000 
0.0 cm,30.0 cm,88.000 ,-9.2 cm,30.0 cm,17.000 
0.0 cm,25.0 cm,99.000 ,-9.2 cm,25.0 cm,14.000 
0.0 cm,20.0 cm,121.000 ,-9.2 cm,20.0 cm,15.000 
0.0 cm,15.0 cm,141.000 ,-9.2 cm,15.0 cm,16.000 
0.0 cm,10.0 cm,179.000 ,-9.2 cm,10.0 cm,19.000 
0.0 cm,5.0 cm,206.000 ,-9.2 cm,5.0 cm,23.000 
-9.2 cm,40.0 cm,16.000 ,-18.5 cm,40.0 cm,41.000 
-9.2 cm,30.0 cm,16.000 ,-18.5 cm,30.0 cm,56.000 
-9.2 cm,25.0 cm,20.000 ,-18.5 cm,25.0 cm,75.000 
-9.2 cm,20.0 cm,20.000 ,-18.5 cm,20.0 cm,89.000 
-9.2 cm,15.0 cm,24.000 ,-18.5 cm,15.0 cm,106.000 
-9.2 cm,10.0 cm,29.000 ,-18.5 cm,10.0 cm,139.000 
-9.2 cm,5.0 cm,37.000 ,-18.5 cm,5.0 cm,235.000 
-20.0 cm,0.0 cm,0.000 ,-29.2 cm,0.0 cm,0.000 
-25.0 cm,0.0 cm,0.000 ,-34.2 cm,0.0 cm,0.000 
-30.0 cm,0.0 cm,0.000 ,-39.2 cm,0.0 cm,0.000 
-35.0 cm,0.0 cm,0.000 ,-44.2 cm,0.0 cm,0.000 
-40.0 cm,0.0 cm,0.000 ,-49.2 cm,0.0 cm,0.000 
10.0 cm,0.0 cm,2.000 ,0.8 cm,0.0 cm,0.000 
15.0 cm,0.0 cm,0.000 ,5.8 cm,0.0 cm,0.000 
20.0 cm,0.0 cm,1.000 ,10.8 cm,0.0 cm,0.000 
25.0 cm,0.0 cm,0.000 ,15.8 cm,0.0 cm,0.000 
30.0 cm,0.0 cm,0.000 ,20.8 cm,0.0 cm,0.000 
35.0 cm,0.0 cm,0.000 ,25.8 cm,0.0 cm,0.000 
-5.0 cm,20.0 cm,71.000 ,-14.2 cm,20.0 cm,48.000 
-10.0 cm,20.0 cm,18.000 ,-19.2 cm,20.0 cm,86.000 
-15.0 cm,20.0 cm,8.000 ,-24.2 cm,20.0 cm,27.000 
-25.0 cm,20.0 cm,2.000 ,-34.2 cm,20.0 cm,7.000 
5.0 cm,40.0 cm,29.000 ,-4.2 cm,40.0 cm,3.000 
10.0 cm,40.0 cm,10.000 ,0.8 cm,40.0 cm,2.000 
15.0 cm,40.0 cm,2.000 ,5.8 cm,40.0 cm,1.000 
20.0 cm,40.0 cm,0.000 ,10.8 cm,40.0 cm,0.000 
25.0 cm,40.0 cm,1.000 ,15.8 cm,40.0 cm,0.000 
-5.0 cm,40.0 cm,47.000 ,-14.2 cm,40.0 cm,32.000 
-10.0 cm,40.0 cm,23.000 ,-19.2 cm,40.0 cm,40.000 
-15.0 cm,40.0 cm,8.000 ,-24.2 cm,40.0 cm,21.000 
-20.0 cm,40.0 cm,2.000 ,-29.2 cm,40.0 cm,6.000 
-25.0 cm,40.0 cm,1.000 ,-34.2 cm,40.0 cm,3.000 
